,0
carries_per90,0.08240552400658327
gls_per90,0.08704393671122268
ga_per90,0.10151717685724426
tkl_int_per90,0.11191237252597198
kp_per90,0.13436400904973986
prgp_per90,0.13717627787249403
xg_per90,0.16912125958799512
touches_per90,0.1764594433887488
