liczba_klastrow,BIC,AIC
2,24169.19975643024,23678.771436912597
3,23163.716644096356,22425.318949541703
4,23019.259950610962,22032.8928810193
5,19159.537620767143,17925.20117613847
6,19190.67446319669,17708.36864353101
